,Dataset,Value,Method,Algorithm,Repetition
320,Petralia IRS with Covariable,0.8708333333333333,"ACF, with covariable",ACF+Ridge,5
321,Petralia IRS with Covariable,0.8541666666666666,"ACF, with covariable",ACF+SVC,5
322,Petralia IRS with Covariable,0.9020833333333333,"ACF, with covariable",ACF+RF,5
323,Petralia IRS with Covariable,0.6907196969696969,"ACF, with covariable",ACF+Ridge,5
324,Petralia IRS with Covariable,0.7761363636363636,"ACF, with covariable",ACF+SVC,5
325,Petralia IRS with Covariable,0.6458333333333333,"ACF, with covariable",ACF+RF,5
326,Petralia IRS with Covariable,0.834469696969697,"ACF, with covariable",ACF+Ridge,5
327,Petralia IRS with Covariable,0.6265151515151515,"ACF, with covariable",ACF+SVC,5
328,Petralia IRS with Covariable,0.5931818181818183,"ACF, with covariable",ACF+RF,5
329,Petralia IRS with Covariable,0.7791666666666666,"ACF, with covariable",ACF+Ridge,5
330,Petralia IRS,0.7708333333333333,"ACF, correlation only",ACF+SVC,5
331,Petralia IRS,0.8063492063492064,"ACF, correlation only",ACF+RF,5
332,Petralia IRS,0.6863095238095238,"ACF, correlation only",ACF+Ridge,5
